No|Kode Saham|Nama Perusahaan|Remarks|Sebelumnya JRY|Open Price JRY|Tanggal Perdagangan Terakhir JRY|First Trade JRY|Tertinggi JRY|Terendah JRY|Penutupan JRY|Selisih JRY|Volume JRY|Nilai JRY|Frekuensi JRY|Index Individual JRY|Offer JRY|Offer Volume JRY|Bid JRY|Bid Volume JRY|Listed Shares JRY|Tradeble Shares JRY|Weight For Index JRY|Foreign Sell JRY|Foreign Buy JRY|Non Regular Volume JRY|Non Regular Value JRY|Non Regular Frequency JRY
1|AALI|Astra Agro Lestari Tbk.|--M-18AEM16000D232------------|8050|0|03 Jan 2023|0|8225|8025|8225|175|1205700|9876195000|1068|668.2|8250|58100|8225|9200|1924688333|1924688333|390711732|16600|687600|0|0|0
2|ABBA|Mahaka Media Tbk.|--U-2105000000E614------------|151|0|03 Jan 2023|0|156|151|153|2|6045500|929478100|756|338|154|255400|153|202100|3935892857|3935892857|1342139464|0|6300|0|0|0
3|ABDA|Asuransi Bina Dana Arta Tbk.|--U-2105000000G412------------|6700|0|03 Jan 2023|0|0|0|6700|0|0|0|0|1529.6|6700|100000|0|0|620806680|620806680|31474899|0|0|0|0|0
4|ABMM|ABM Investama Tbk.|--M-1175000000C311------------|3260|0|03 Jan 2023|0|3370|3260|3360|100|624500|2073335000|485|89.6|3360|6700|3340|26000|2753165000|2753165000|568803889|42200|79500|0|0|0
5|ACES|Ace Hardware Indonesia Tbk.|--M-1K75MD0000E743------------|510|0|03 Jan 2023|0|550|510|510|0|258616600|1.36698E+11|20664|622|515|412500|510|1150000|17150000000|17150000000|6832560000|87239300|12941500|3500000|1830500000|10
6|ACST|Acset Indonusa Tbk.|--U-1135000000J211------------|160|0|03 Jan 2023|0|167|159|160|0|12273000|2001386600|5524|11.8|161|10500|160|370800|12675160000|12675160000|2259981028|60000|70000|0|0|0
7|ADCP|Adhi Commuter Properti Tbk.|--U-1135000000H111------------|67|0|03 Jan 2023|0|68|67|67|0|4833200|324462600|380|51.5|68|824700|67|600100|22222222200|22222222200|2222222220|0|0|0|0|0
8|ADES|Akasha Wira International Tbk.|--U-2135000000D212------------|7200|0|03 Jan 2023|0|7300|7100|7300|100|27200|195667500|78|379.2|7300|2300|7250|1200|589896800|589896800|48961434|1100|0|0|0|0
9|ADHI|Adhi Karya (Persero) Tbk.|--M-1805L00000J211------------|484|0|03 Jan 2023|0|490|482|488|4|15083700|7319255200|2042|419.9|490|264100|488|2411300|8407608979|8407608979|2998994123|2899400|296800|0|0|0
10|ADMF|Adira Dinamika Multi Finance Tbk.|--U-110F200000G211------------|9000|0|03 Jan 2023|0|9000|8975|9000|0|18300|164472500|49|387.1|9025|17900|9000|100|1000000000|1000000000|79200000|100|800|0|0|0
