No|Kode Saham|Nama Perusahaan|Remarks|Sebelumnya|Open Price|Tanggal Perdagangan Terakhir|First Trade|Tertinggi|Terendah|Penutupan|Selisih|Volume|Nilai|Frekuensi|Index Individual|Offer|Offer Volume|Bid|Bid Volume|Listed Shares|Tradeble Shares|Weight For Index|Foreign Sell|Foreign Buy|Non Regular Volume|Non Regular Value|Non Regular Frequency
1|AALI|Astra Agro Lestari Tbk.|--S-18AEM16000D232------------|7400|0|23 Mei 2023|0|7550|7400|7500|100|666700|4993422500|621|609.3|7525|9100|7500|262800|1924688333|1924688333|390711732|168700|113600|88|653400|1
2|ABBA|Mahaka Media Tbk.|--U-2100000000E614-E----------|99|0|23 Mei 2023|0|102|97|97|-2|6306700|627885500|1264|214.3|98|17900|97|270900|3935892857|3935892857|1342139464|941600|330700|0|0|0
3|ABDA|Asuransi Bina Dana Arta Tbk.|--U-2105000000G412------------|6450|0|23 Mei 2023|0|0|0|6450|0|0|0|0|1472.5|6450|49900|0|0|620806680|620806680|31474899|0|0|0|0|0
4|ABMM|ABM Investama Tbk.|--S-1835000000C311------------|3130|0|23 Mei 2023|0|3130|2920|3090|-40|9525400|28797403000|3830|82.4|3100|10000|3090|1900|2753165000|2753165000|568803889|1721000|587500|0|0|0
5|ACES|Ace Hardware Indonesia Tbk.|--SO1S35MD0000E743------------|630|630|23 Mei 2023|630|645|595|605|-25|214957100|1.32927E+11|15198|737.8|610|2927200|605|323200|17150000000|17150000000|6832560000|63488100|73562200|409200|254796000|3
6|ACST|Acset Indonusa Tbk.|--U-1135000000J211------------|128|0|23 Mei 2023|0|131|127|128|0|5935200|766470000|4921|9.5|129|17300|128|6900|12675160000|12675160000|2259981028|369000|571700|0|0|0
7|ADCP|Adhi Commuter Properti Tbk.|--U-1135000000H111------------|59|0|23 Mei 2023|0|59|58|58|-1|1960600|114349400|196|44.6|59|2657800|58|4594400|22222222200|22222222200|2222222220|0|0|0|0|0
8|ADES|Akasha Wira International Tbk.|--U-2135000000D212------------|8200|0|23 Mei 2023|0|8300|8200|8250|50|53900|445170000|113|428.6|8300|9900|8250|500|589896800|589896800|48961434|2100|5800|0|0|0
9|ADHI|Adhi Karya (Persero) Tbk.|--S-1805700000J211------------|346|0|23 Mei 2023|0|356|344|348|2|10293500|3609517800|1255|299.4|348|66500|346|1370000|8407608979|8407608979|2998994123|365300|454100|906|313500|3
10|ADMF|Adira Dinamika Multi Finance Tbk.|--U-110F000000G211------------|10175|0|23 Mei 2023|0|10175|10125|10150|-25|21200|214967500|73|436.6|10150|300|10125|4000|1000000000|1000000000|79200000|1300|0|0|0|0
11|ADMG|Polychem Indonesia Tbk|--U-1130000000B111------------|143|0|23 Mei 2023|0|146|143|145|2|344800|49665800|178|12.9|145|38400|144|19900|3889179559|3889179559|520372225|0|14500|0|0|0
12|ADMR|Adaro Minerals Indonesia Tbk.|--U-2810530000A121------------|825|0|23 Mei 2023|0|840|805|805|-20|23022100|18843146500|4572|805|810|25000|805|310200|40882331500|40882331500|6606584770|1210500|5423200|500|403500|3
